Company Name,Social Links/LinkeIn,complaintsTotal,date,rating,reviewsTotal,totalClosedComplaintsPastThreeYears,totalClosedComplaintsPastTwelveMonths
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/8/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/7/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/6/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/29/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/26/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/25/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/24/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/20/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/16/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/15/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/15/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/15/22,5,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/14/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/13/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/13/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/11/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/11/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/11/22,4,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/11/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/9/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/9/22,2,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/8/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/8/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/6/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/5/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/2/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/2/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/24/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/22/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/16/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/13/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/13/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/13/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/1/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/31/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/31/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/27/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/25/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/22/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/22/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/19/22,1,254,1159,258
