"companyName","isReviewVerified","reviewCompanyResponse","reviewDate","reviewDescription","reviewRatingScore","reviewTitle","reviewUrl"
"MoneyLion","false","We're grateful and appreciate you taking the time to share your review, Ervin!","2024-03-02T04:22:35.000Z","Date of experience: March 01, 2024","5","Great banking..very satisfied","https://trustpilot.com/reviews/65e28d6b51298973d7577c97"
"MoneyLion","false","Thank you so much for this feedback, Maurice! We are so grateful to have you as a member of our community!","2023-03-24T05:30:16.000Z","Money so far has been a great app I would invite or tell anyone about this app great job Money Lion Family!!!!!!","4","Money so far has been a great app I…","https://trustpilot.com/reviews/641d1948ff7671b15e9fda2a"
"MoneyLion","false","We regret any frustration this has caused, Emarzon! A member of our Advocacy team has reached out to you directly to assist you with this. We look forward t working with you.","2024-03-07T06:22:22.000Z","I want to start by saying this is great app. It’s easy to use and it’s quite engaging. A lot of benefits offered but beware and hopefully my experience can help others here. I downloaded this app due to the early direct deposit they offer. Previously, I had my Bank of America account connected to Moneylion so I can access the instacash feature. Instacash feature is like an advance or like a loan that you would have to pay at the set date. Anyway, I used to get about $600 in instacash limit. Then, suddenly, I noticed that my limit has been decreasing even with the boost coming from other people. Looking at one of their service offer was increased the instacash limit to up to $1000 if you have your direct deposit transferred. Well, that’s what I did and my direct deposit hit today at Moneylion. I paid my previous balance and I’ve been always on time on my payments. I noticed my instacash limit decreased significantly from $600 to $85 like WTH? I contacted customer support and was able to chat with Alexis T. She informed me that the increase in instacash limit is after 2-3 direct deposits. I was like where was that shown in the offer? So, that’s done and I don’t think I can do anything about it. So I inquired about my significant decreased in instacash limit and she informed me that it’s due to Moneylion did not detect any direct deposit in my previously connected bank. No duh, I just moved my direct deposit to Moneylion. I asked why can’t Moneylion detect my newly direct deposit in my Moneylion account and she just told me that it will not detect until 2-3 deposits. Like seriously??? Anyone thinking of transferring here to Moneylion, please be ready and do your preparation. Definitely got screwed this time.

Update: 03/06/2024 it’s been 48 hours since I spoke with a representative like they responded. Still no solution. All they told me that instacash is not detecting my recent direct deposit and that they escalated the problem to an engineer ( God knows who). Been following up daily and no result. Since my query was posted on 02/28/2024, that means I’ve been waiting for a week for a solution. Such a disappointment.","1","Increase in instacash limit with direct deposit misleading","https://trustpilot.com/reviews/65e1634a86668e23d37cd20a"
"MoneyLion","false","It makes our day to hear that you're making the most of our products! Thank you for being the best part of MoneyLion!","2023-03-24T13:36:48.000Z","I've had great experiences using the money lion app it got me out many jams that occur in everyday life I recommend it to everyone","5","I've had great experiences using the…","https://trustpilot.com/reviews/641d8b508e46986eed849046"
"MoneyLion","false","We are happy to be here for you, Jazmeane. Thanks for this positive review.","2023-03-10T16:12:03.000Z","Money lion is always there when I need them in between paydays or just for emergencies.","5","Money lion is always there when I need…","https://trustpilot.com/reviews/640b3ab396ce1fa31abea593"
"MoneyLion","false","Hey Dori! Thank you for bringing this to our attention. We're so sorry to hear this. One of our Customer Care team members has reached out to you via email to assist!","2023-03-22T14:37:30.000Z","Was literally my favorite institution until I lost access to my account, and to get the hold off I've had to jump through hoops. It's not making me feel very secure","3","Was literally my favorite institution…","https://trustpilot.com/reviews/641af68ae587f3339798d61f"
"MoneyLion","false","We are happy to see that you're over all happy with our service, but would we like the opportunity to earn 5-stars. If you would like one of our dedicated advocates to review your situation, please fill out this form; https://mlion.info/customerhelp and someone will contact you directly.","2023-08-03T16:59:30.000Z","I think their great except the department that handles the investigation dept had a couple different charges in my bill and they found for themselves","4","I think their great except the…","https://trustpilot.com/reviews/64cbc0d2cd00264dcf88fa39"
"MoneyLion","false","Thank you for allowing us to help you during your time of need, Jessica!","2023-03-14T07:50:26.000Z","Always help me out with extra money if I need it before payday or if something comes up... very happy user!","5","There when I need it....","https://trustpilot.com/reviews/64100b225d0337bfe32aa218"
"MoneyLion","false","Your compliment means the world to us, Caleb, and we truly appreciate you taking the time to leave such a detailed review. We are so happy to see that we were able to provide you the assistance you needed, and we are excited to support you as you continue on your financial journey.","2023-03-14T14:42:45.000Z","Hey I’m sticking with these guys because when nobody not even my old bank (Chase) who I had been with almost 20 years would give me an emergency loan money lion came through with $1200 between that and all of the features to help you save, build credit, or invest these guys helped me out and earned my business and respect,","5","Amazing Bank","https://trustpilot.com/reviews/64106bc5ae836209fb8e5db0"
"MoneyLion","false","It’s an honor and a privilege to have you a part of our community! Thank you for taking the time today to leave us a positive review, we appreciate our customers!","2023-03-19T05:44:18.000Z","I have been with Money Lion since 20.I Love the insta cash option.As time has went by the investment option has helped me save.Those shakes add up 😃.","5","This Lion really Roars","https://trustpilot.com/reviews/641685123815cf990dfbb056"
"MoneyLion","false","We are truly so happy to hear that our Credit Builder Plus loan is improving your credit score! Thank you so much for leaving this feedback for everyone to see, Thomas.","2023-03-18T21:39:34.000Z","I've had this app for over 6 months and compare to MANY app I've used to help me financially. MoneyLion is by far a 10 out of 10. Even help my Credit Scores go up 33 points, which opened doors for me.","5","A 10 out of 10","https://trustpilot.com/reviews/641613767ecb0458e417c048"
"MoneyLion","false","This would be a frustrating experience, Bradley. Please use this link; https://mlion.info/customerhelp to access our contact form by copy and pasting the link into an open browser window. Once the form loads, please complete and submit it, and one of our customer advocates will contact you directly to discuss this matter in more detail.","2023-12-24T23:16:56.000Z","They allowed someone to get into my account steal $500.02 weeks before they let them take $250 they did not replace anything they argued with me. They still have not settled to this date. They let all grocery store called Roche Brothers, who would shop theredon’t come here they’re not a secure bank they allow third-party to get in whenever they want even if you lock your card","2","Don’t trust this fake bank","https://trustpilot.com/reviews/65889fc8cfdccd8013323e61"
"MoneyLion","false","Thank you for your kind words, we are so lucky to have you as a part of our community!","2023-03-18T21:22:04.000Z","satisfies my financial needs and it doesn't hurt to have a online banking service to have on my phone for on the go.","5","very satisfied +","https://trustpilot.com/reviews/64160f5bf35a0456c87dcd38"
"MoneyLion","false","We appreciate you taking the time to leave this positive review and rating about your experience, Kita.","2023-11-23T17:29:20.000Z","MoneyLion is they something call quick cash they will spot you until your next paycheck","5","Get paid for referrals","https://trustpilot.com/reviews/655f6fd0744ea3d48a692844"
"MoneyLion","false","We’re glad to see you’re enjoying our app! Thanks for leaving us such a positive review! Your feedback means the world to us!","2023-03-15T20:38:29.000Z","The best app ever! Instant cash advances & helpful info & so far everything has been so fast & so easy! Love it! Highly recommend!","5","The best app ever","https://trustpilot.com/reviews/641210a55b20fa3c03e940fd"
"MoneyLion","false","Thank you so much for this feedback, GG! We are so grateful to have such wonderful, loyal customers.","2023-03-20T00:48:24.000Z","I really love money… I love the way y’all don’t hold it against the customers who can’t pay on time…","5","I really love money… I love the way…","https://trustpilot.com/reviews/6417913789c7d7abb8249e07"
"MoneyLion","false","Thank you for sharing your experience, Patricia. We're happy to see that we could provide you with a quick and convenient financial option.","2023-05-03T05:25:18.000Z","Was able to get a short term loan quickly online and deposited within minutes.","5","Short Terms & Fast Service","https://trustpilot.com/reviews/6451d41e77b6a3f41201cd44"
"MoneyLion","false","We appreciate your kindness! We love assisting our customers on their financial journey however we can. Thanks for being the best part of MoneyLion!","2023-04-11T08:51:32.000Z","We found this to be a good fintech solution for most people. Their service was very good. They didn’t have any hidden tricks or gimmicks that we could find.","5","We found this to be a good fintech…","https://trustpilot.com/reviews/64350374b9a1d891f9d8fe92"
